metal,ligand,base,solvent,leaving_group,substrate_type,temperature,time,catalyst_loading,steric_hindrance,electronic_effect,yield,success
Fe,tBu3P,DBU,THF,Br,vinyl,91.20829269975138,4.199448147996064,4.862864473675738,0.33370861113902184,-0.7142663641561184,32.082708622887914,0
Fe,XantPhos,K3PO4,DMF,OTf,aryl,103.22370567394016,15.45636953074218,0.5671298995873153,0.023062425041415757,0.049549320516778295,21.443066037513486,0
Ni,cataCXium,NaOtBu,DMF,Cl,heteroaryl,66.34245041729746,15.60449220532792,4.133388917038046,0.9832308858067882,-0.06647421350404015,49.08289490031531,0
Pd,dppf,K3PO4,DMF,Br,heteroaryl,116.58781436815228,8.701502921814155,1.4278850830606467,0.6842330265121569,-0.1196950125207974,34.44328022353398,0
Fe,BINAP,Et3N,Dioxane,I,aryl,78.11459871200118,16.575490255787603,3.4612552228494042,0.5200680211778108,0.0934205586865593,80.81671160397156,1
Fe,P(o-tol)3,KOH,DMF,Br,aryl,78.99443222417271,20.232225201342445,3.889156603589098,0.28093450968738076,0.08539216631649693,90.5788429082123,1
Pd,PPh3,K2CO3,Dioxane,Br,aryl,73.91009770739207,2.121486576719253,8.246883570320925,0.7068573438476171,0.4580143360819746,7.297207314455656,0
Pd,BINAP,NaOtBu,Toluene,Br,vinyl,81.76876252009635,9.154033084588434,7.431258694211609,0.6375574713552131,0.7744254851526531,47.05509152389592,0
Pd,SPhos,NaOH,Dioxane,I,vinyl,113.25495340318282,14.348098346528918,7.824188209568329,0.49379559636439074,0.045465658763988115,44.5866420086814,0
Cu,SPhos,Et3N,DMF,Cl,aryl,82.00491867534286,13.18855520562346,9.121881502297883,0.24929222914887494,-0.17923415392874054,28.3411532116446,0
Ru,XPhos,NaOH,DMF,Cl,vinyl,108.63494531277932,21.37029245833567,6.431363457271036,0.295633685837714,-0.7890114803394588,59.16330335594922,1
Fe,tBu3P,DBU,Toluene,Cl,aryl,82.26024324803046,4.421142339608888,2.665384044148446,0.4271077886262563,0.6360295318449862,36.10541011748796,0
Pd,SPhos,Et3N,Toluene,OTf,vinyl,89.21877022041453,6.886371830356065,1.6387209896699866,0.33761517140362796,0.8858194078250383,49.72913705606437,0
Pd,XPhos,K2CO3,Toluene,Br,heteroaryl,127.37131064594779,7.539210508158011,5.223860805977662,0.30087830981676966,-0.4303190112450648,31.0835377476882,0
Pd,tBu3P,K2CO3,Toluene,I,heteroaryl,62.31355130303839,9.591567456587025,6.526337774662956,0.6807054515547668,0.061869166634272776,49.69321102268904,0
Fe,dppf,Cs2CO3,DMF,Cl,aryl,110.97514440283017,10.091228919823571,6.506905390639005,0.6335297107608947,0.07154936814951696,25.87964368721406,0
Pd,P(o-tol)3,NaOtBu,Dioxane,I,aryl,120.0851163369604,9.171095914441464,2.5922899518727087,0.7111495324380178,0.6190020922794308,44.85117859204777,0
Pd,PPh3,DBU,DMF,Cl,heteroaryl,118.63970741351295,16.86518257486418,7.484553132787335,0.20907162073771368,0.08289594765513164,40.5178329954528,0
Ni,SPhos,Et3N,DMF,OTf,heteroaryl,128.7517840330605,13.365989607962314,2.9778771608888857,0.9962536997579243,0.9308387025775873,54.157748144442266,1
Pd,P(o-tol)3,Cs2CO3,Dioxane,OTf,vinyl,119.94270043146648,10.899178796688181,8.933815938229118,0.8509284487675127,0.8712699884418951,30.820369812067696,0
Fe,XantPhos,DBU,DMF,I,vinyl,86.05979365932201,22.682935734071126,9.749806449175514,0.2839209747374657,-0.3892722793112131,31.915531776442897,0
Cu,P(o-tol)3,NaOtBu,THF,OTf,aryl,94.57256006284042,5.934099602869233,3.9814534535371693,0.7441705230565623,0.44187984850425854,31.10987338415923,0
Pd,cataCXium,Cs2CO3,Dioxane,I,vinyl,77.53232730239088,14.977158646331965,9.799482153612585,0.4867421529594551,0.812197575437108,33.48764094032922,0
Pd,cataCXium,Et3N,DMF,Br,aryl,76.11296877690887,12.982254357464551,5.93403989248724,0.768554014306309,-0.9127924564911325,42.861711495335996,0
Fe,cataCXium,KOH,THF,I,aryl,121.84458155863813,18.449813025743108,9.554182546727555,0.3307503046705137,0.10552993367097985,36.50916001081409,0
Fe,RuPhos,DBU,Dioxane,Br,vinyl,71.86449226802648,14.249627774083704,9.39347035452742,0.696029796674973,0.14012234017872993,39.79482469948399,0
